PNODE_ID,AS_ID,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long
TELECYN_1_N014,AS_SP15,LOAD,TLGCYN_1_LD40,22852_TELECYN _138_LD40,22M7_DB114,2022-07-28 0:00:00,4911,32.637823,-117.016284
TOREYPNS_6_N001,AS_SP15,LOAD,TORYPN_6_LD33,22856_TOREYPNS_69.0_LD33,22M7_DB114,2022-07-28 0:00:00,4931,32.89860207,-117.2398137
TOREYPNS_6_N001,AS_SP26,LOAD,TORYPN_6_LD33,22856_TOREYPNS_69.0_LD33,22M7_DB114,2022-07-28 0:00:00,4931,32.89860207,-117.2398137
TOREYPNS_6_N007,AS_SP26,LOAD,TORYPN_6_LD31,22856_TOREYPNS_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4929,32.89884223,-117.2398285
TOREYPNS_6_N007,AS_SP15,LOAD,TORYPN_6_LD31,22856_TOREYPNS_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4929,32.89884223,-117.2398285
TOREYPNS_6_N008,AS_SP15,LOAD,TORYPN_6_LD30,22856_TOREYPNS_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4928,32.89881529,-117.2401838
TOREYPNS_6_N008,AS_SP26,LOAD,TORYPN_6_LD30,22856_TOREYPNS_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4928,32.89881529,-117.2401838
TOREYPNS_6_N009,AS_SP15,LOAD,TORYPN_6_LD32,22856_TOREYPNS_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4930,32.89853011,-117.2402412
TOREYPNS_6_N009,AS_SP26,LOAD,TORYPN_6_LD32,22856_TOREYPNS_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4930,32.89853011,-117.2402412
UCM_6_N001,AS_SP26,LOAD,UCMTG_6_LD32,22864_UCM  _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4991,32.88344178,-117.2223885
UCM_6_N001,AS_SP15,LOAD,UCMTG_6_LD32,22864_UCM  _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4991,32.88344178,-117.2223885
UCM_6_N002,AS_SP26,LOAD,UCMTG_6_LD30,22864_UCM  _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4989,32.88373691,-117.2225007
UCM_6_N002,AS_SP15,LOAD,UCMTG_6_LD30,22864_UCM  _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4989,32.88373691,-117.2225007
UCM_6_N006,AS_SP15,LOAD,UCMTG_6_LD31,22864_UCM  _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4990,32.88347002,-117.2227024
UCM_6_N006,AS_SP26,LOAD,UCMTG_6_LD31,22864_UCM  _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4990,32.88347002,-117.2227024
UCM_6_N110,AS_SP26,GEN,UCMTG_6_FCELL,22864_UCM  _69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4988,32.88217453,-117.223001
UCM_6_N110,AS_SP15,GEN,UCMTG_6_FCELL,22864_UCM  _69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4988,32.88217453,-117.223001
URBAN_6_N001,AS_SP15,LOAD,URBAN_6_LD33,22868_URBAN  _69.0_LD33,22M7_DB114,2022-07-28 0:00:00,5014,32.713308,-117.151331
URBAN_6_N001,AS_SP26,LOAD,URBAN_6_LD33,22868_URBAN  _69.0_LD33,22M7_DB114,2022-07-28 0:00:00,5014,32.713308,-117.151331
URBAN_6_N005,AS_SP26,LOAD,URBAN_6_LD31,22868_URBAN  _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,5012,32.713308,-117.151611
URBAN_6_N005,AS_SP15,LOAD,URBAN_6_LD31,22868_URBAN  _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,5012,32.713308,-117.151611
VALCNTR_6_N001,AS_SP15,LOAD,VLCNTR_6_LD1,22871_VLYC GEN_12.0_LD31,22M7_DB114,2022-07-28 0:00:00,5166,33.23068428,-117.0184155
VALCNTR_6_N001,AS_SP26,LOAD,VLCNTR_6_LD1,22871_VLYC GEN_12.0_LD31,22M7_DB114,2022-07-28 0:00:00,5166,33.23068428,-117.0184155
VLYCGEN_7_N002,AS_SP26,GEN,VLCNTR_6_VCSLR1,22871_VLYC GEN_12.0_GU1,22M7_DB114,2022-07-28 0:00:00,5170,33.2326448,-117.0028289
VLYCGEN_7_N002,AS_SP15,GEN,VLCNTR_6_VCSLR1,22871_VLYC GEN_12.0_GU1,22M7_DB114,2022-07-28 0:00:00,5170,33.2326448,-117.0028289
VLYCGEN_7_N003,AS_SP15,GEN,VLCNTR_6_VCSLR2,22871_VLYC GEN_12.0_GU2,22M7_DB114,2022-07-28 0:00:00,5171,33.2325483,-117.0014186
VLYCGEN_7_N003,AS_SP26,GEN,VLCNTR_6_VCSLR2,22871_VLYC GEN_12.0_GU2,22M7_DB114,2022-07-28 0:00:00,5171,33.2325483,-117.0014186
WARENCYN_6_N001,AS_SP26,LOAD,WRNCYN_6_LD30,22880_WARENCYN_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,5339,33.01545588,-117.0020028
WARENCYN_6_N001,AS_SP15,LOAD,WRNCYN_6_LD30,22880_WARENCYN_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,5339,33.01545588,-117.0020028
WARENCYN_6_N002,AS_SP26,LOAD,WRNCYN_6_LD20,22880_WARENCYN_69.0_LD20,22M7_DB114,2022-07-28 0:00:00,5338,33.01545557,-117.0023576
WARENCYN_6_N002,AS_SP15,LOAD,WRNCYN_6_LD20,22880_WARENCYN_69.0_LD20,22M7_DB114,2022-07-28 0:00:00,5338,33.01545557,-117.0023576
WARNERS_6_N001,AS_SP26,LOAD,WRNERS_6_LD1,22884_WARNERS _69.0_LD1,22M7_DB114,2022-07-28 0:00:00,5340,33.24736265,-116.6757664
WARNERS_6_N001,AS_SP15,LOAD,WRNERS_6_LD1,22884_WARNERS _69.0_LD1,22M7_DB114,2022-07-28 0:00:00,5340,33.24736265,-116.6757664
